02/07/2011,89001,Bacon,BRK,"ANNENBERG ","Breakfast Meats",2,EACH,
02/07/2011,508030,"Cranberry Baked French Toast",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/07/2011,61041,"Egg Beaters",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/07/2011,61042,"Egg Whites",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/07/2011,161049,"Hard Cooked Eggs",BRK,"ANNENBERG ","Breakfast Entrees",1,EACH,VGT
02/07/2011,142539,Hummus,BRK,"ANNENBERG ","Breakfast Entrees",2,OZ,VGN
02/07/2011,61003,"Scrambled Eggs",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/07/2011,214004,"Raisin Scones",BRK,"ANNENBERG ","Breakfast Bakery",1,EACH,VGT
02/07/2011,191001,"Warmed Pancake Syrup",BRK,"ANNENBERG ","Breakfast Misc",1,OZL,VGN
02/07/2011,505079,"Home Fried Potatoes",BRK,"ANNENBERG ","Starch & Potatoes",4,OZ,VGN
02/07/2011,23511,"Chicken Barley Soup",LUN,"ANNENBERG ","Today's Soup",6,OZL,
02/07/2011,22503,"Cream of Mushroom Soup",LUN,"ANNENBERG ","Today's Soup",6,OZL,VGT
02/07/2011,175076,"Broccoli Florets",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/07/2011,173012,"Chick Peas",LUN,"ANNENBERG ","Salad Bar",1,OZ,VGN
02/07/2011,171060,"Corn Niblets",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/07/2011,163024,Couscous,LUN,"ANNENBERG ","Salad Bar",3-Feb,CUP,VGT
02/07/2011,176066,"Field Greens",LUN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/07/2011,48006,"Flaked Tuna",LUN,"ANNENBERG ","Salad Bar",2,OZ,
02/07/2011,161056,"Hard Cooked Eggs",LUN,"ANNENBERG ","Salad Bar",1,EACH,VGT
02/07/2011,142539,Hummus,LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/07/2011,48016,Hummus,LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/07/2011,176034,"Shredded Carrots",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/07/2011,173007,"Sliced Beets",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/07/2011,175022,"Sliced Cucumbers",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/07/2011,175050,"Spinach Salad Base",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/07/2011,143001,Tofu,LUN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/07/2011,175021,"Tomato Wedges",LUN,"ANNENBERG ","Salad Bar",2,OZ,"LOC VGN"
02/07/2011,48501,"Chicken Salad",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/07/2011,221019,"Kosher Dill Pickle Chips",LUN,"ANNENBERG ","Sandwich Bar",3,EACH,VGN
02/07/2011,175035,"Leaf Lettuce",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/07/2011,319044,"Sliced Ham",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/07/2011,176007,"Sliced Red Onions",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,"(OG) VGN"
02/07/2011,175036,"Sliced Tomatoes",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/07/2011,113520,"Smoked Turkey Breast",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
02/07/2011,77115,"Chicken Parmesan Sub",LUN,"ANNENBERG ",Entrees,1,EACH,
02/07/2011,179078,"Roasted Vegetable Panini",LUN,"ANNENBERG ",Entrees,1,EACH,VGT
02/07/2011,161010,"Golden Nuggets",LUN,"ANNENBERG ","Starch & Potatoes",4,OZ,VGN
02/07/2011,176077,"Sauteed Spinach with Garlic",LUN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/07/2011,175088,"Steamed Broccoli",LUN,"ANNENBERG ",Vegetables,4,OZ,VGN
02/07/2011,599015,"Banana Cake",LUN,"ANNENBERG ",Desserts,1,PIECE,VGT
02/07/2011,182001,"Chocolate Chip Cookies",LUN,"ANNENBERG ",Desserts,1,EACH,VGT
02/07/2011,501033,"Boca Burger for Grill",LUN,"ANNENBERG ","From the Grille",1,EACH,VGN
02/07/2011,117003,Chickwich,LUN,"ANNENBERG ","From the Grille",1,EACH,
02/07/2011,75012,"Crispy Fish Sandwich",LUN,"ANNENBERG ","From the Grille",1,EACH,
02/07/2011,61041,"Egg Beaters",LUN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/07/2011,61042,"Egg Whites",LUN,"ANNENBERG ","From the Grille",4,OZ,VGT
02/07/2011,142055,"Garden Burger",LUN,"ANNENBERG ","From the Grille",1,EACH,VGT
