02/14/2011,113063,"Turkey Sausage",BRK,"ANNENBERG ","Breakfast Meats",2,EACH,
02/14/2011,508030,"Cranberry Baked French Toast",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/14/2011,61041,"Egg Beaters",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/14/2011,61042,"Egg Whites",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/14/2011,61009,"Hard Cooked Eggs",BRK,"ANNENBERG ","Breakfast Entrees",1,EACH,VGT
02/14/2011,161049,"Hard Cooked Eggs",BRK,"ANNENBERG ","Breakfast Entrees",1,EACH,VGT
02/14/2011,142539,Hummus,BRK,"ANNENBERG ","Breakfast Entrees",2,OZ,VGN
02/14/2011,61003,"Scrambled Eggs",BRK,"ANNENBERG ","Breakfast Entrees",4,OZ,VGT
02/14/2011,61038,"The Breakfast Sandwich",BRK,"ANNENBERG ","Breakfast Entrees",1,EACH,VGT
02/14/2011,191001,"Warmed Pancake Syrup",BRK,"ANNENBERG ","Breakfast Misc",1,OZL,VGN
02/14/2011,161048,"Shredded Hashbrowns",BRK,"ANNENBERG ","Starch & Potatoes",4,OZ,VGN
02/14/2011,23530,"Chipotle & Black Bean Soup",LUN,"ANNENBERG ","Today's Soup",6,OZL,VGN
02/14/2011,504062,"Manhattan Clam Chowder",LUN,"ANNENBERG ","Today's Soup",6,OZL,
02/14/2011,171071,"Edamame Beans",LUN,"ANNENBERG ","Salad Bar",1,OZ,VGN
02/14/2011,176066,"Field Greens",LUN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/14/2011,48006,"Flaked Tuna",LUN,"ANNENBERG ","Salad Bar",2,OZ,
02/14/2011,171073,"Green Beans",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/14/2011,171009,"Green Peas",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/14/2011,175054,"HUHDS Salad Mix",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/14/2011,178008,"Peeled Baby Carrots",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/14/2011,164021,"Quinoa for your Salad",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGT
02/14/2011,505010,"Spicy Hummus",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/14/2011,176067,"Suntan Pepper Strips",LUN,"ANNENBERG ","Salad Bar",2,OZ,VGN
02/14/2011,142043,Tabbouleh,LUN,"ANNENBERG ","Salad Bar",2,OZ,VGT
02/14/2011,143001,Tofu,LUN,"ANNENBERG ","Salad Bar",2,OZ,"(OG) VGN"
02/14/2011,175021,"Tomato Wedges",LUN,"ANNENBERG ","Salad Bar",2,OZ,"LOC VGN"
02/14/2011,175052,"Diced Tomatoes",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/14/2011,221002,"Dill Pickle Spears",LUN,"ANNENBERG ","Sandwich Bar",2,EACH,VGN
02/14/2011,217008,Pretzles,LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/14/2011,175055,"Shredded Lettuce",LUN,"ANNENBERG ","Sandwich Bar",1,OZ,VGN
02/14/2011,77045,"Sliced Pastrami",LUN,"ANNENBERG ","Sandwich Bar",4,OZ,
